Num: b0=0 b1=0 b2=2 b3=31 size=4
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 13 0f 00 00 15)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 13 0f 00 00 15)
  SACT  [ui16]  0 (bytes 00 00)
  SALS  [hex_]  (bytes 80)
  SAPN  [ui8 ]  1 (bytes 01)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 00 80)
  SBFE  [flag]  (bytes 01)
  SBFF  [hex_]  (bytes 00 00 00 00)
  SBFL  [hex_]  (bytes 00 00 00 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 00 e0)
  SBFV  [hex_]  (bytes 00 00 00 7f)
  SBS!  [ui16]  0 (bytes 00 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 64 00)
  SDAF  [ui16]  0 (bytes 00 00)
  SDAS  [ui16]  0 (bytes 00 00)
  SFBR  [ui8 ]  4 (bytes 04)
  SIP   [ui8 ]  (bytes 01)
  SIPB  [flag]  (bytes 00)
  SIS!  [hex_]  (bytes 00 00 00 00)
  SLP0  [ui8 ]  0 (bytes 00)
  SLPS  [flag]  (bytes 01)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPDO  [ui8 ]  1 (bytes 01)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPT!  [hex_]  (bytes 00)
  SPU!  [hex_]  (bytes 00 00 00 00)
  SPV!  [hex_]  (bytes 00 00 00 00)
  SRS!  [hex_]  (bytes 00 00 00 00)
  STC0  [ui8 ]  143 (bytes 8f)
  STC1  [ui8 ]  0 (bytes 00)
  STC2  [ui8 ]  175 (bytes af)
  STDK  [ui16]  0 (bytes 00 00)
  STFD  [flag]  (bytes 00)
  SWER  [hex_]  (bytes 00)
  TB0T  [sp78]  (bytes 1a 66)
  TB1T  [sp78]  (bytes 1a 66)
  TB2T  [sp78]  (bytes 1a 4c)
  TBXT  [sp78]  (bytes 1a 66)
  TC0E  [sp78]  (bytes 4d 5b)
  TC0F  [sp78]  (bytes 50 8d)
  TC0P  [sp78]  (bytes 34 60)
  TC1C  [sp78]  (bytes 50 00)
  TC2C  [sp78]  (bytes 4d 00)
  TCGC  [sp78]  (bytes 46 00)
  TCHP  [sp78]  (bytes 24 20)
  TCMX  [sp78]  (bytes 50 00)
  TCSA  [sp78]  (bytes 47 00)
  TCXC  [sp78]  (bytes 4e b0)
  TH0A  [sp78]  (bytes 25 40)
  TH0B  [sp78]  (bytes 25 20)
  TH0C  [sp78]  (bytes 81 00)
  TH0F  [sp78]  (bytes d2 fe)
  TH0R  [sp78]  (bytes d4 40)
  TH0V  [sp78]  (bytes 2a bf)
  TH0a  [sp78]  (bytes 25 40)
  TH0b  [sp78]  (bytes 25 20)
  TH0c  [sp78]  (bytes 81 00)
  THSP  [sp78]  (bytes 1e 40)
  TM0P  [sp78]  (bytes 24 a0)
  TPCD  [sp78]  (bytes 3a 00)
  TS2P  [sp78]  (bytes 24 c0)
  TW0P  [sp78]  (bytes 21 e0)
  Ta0P  [sp78]  (bytes 23 20)
  Th1H  [sp78]  (bytes 1d 60)
  Tm0P  [sp78]  (bytes 21 60)
  Ts0P  [sp78]  (bytes 1b 00)
  Ts0S  [sp78]  (bytes 1d 8c)
  UBDC  [flag]  (bytes 00)
  UFIS  [ui32]  2 (bytes 00 00 00 02)
  UPRC  [ui16]  1 (bytes 00 01)
  UREV  [ui8 ]  (bytes a3)
  URPP  [ui32]  51 (bytes 00 00 00 33)
